City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
454,kaisiadorys,90,LT,1572937412,87,54.87,24.45,50.0,6.93
455,namibe,99,AO,1572937412,88,-15.19,12.15,73.94,9.6
456,upata,10,VE,1572937413,89,8.02,-62.41,77.0,1.99
457,mantua,75,IT,1572937413,93,45.16,10.79,57.2,8.05
458,makokou,92,GA,1572937413,97,0.56,12.85,70.02,0.98
459,ersekvadkert,82,HU,1572937413,100,48.0,19.2,48.99,4.7
460,chulman,100,RU,1572937413,90,56.84,124.9,3.38,13.22
461,thunder bay,40,CA,1572937225,73,48.41,-89.26,23.0,8.05
462,nelson bay,18,AU,1572937413,59,-32.72,152.14,64.99,19.46
463,slave lake,90,CA,1572937181,92,55.28,-114.77,26.6,2.71
464,phan thiet,100,VN,1572937413,70,10.93,108.1,82.51,5.7
465,norfolk,90,US,1572937411,82,36.85,-76.29,64.4,4.7
466,oranjestad,20,AW,1572937205,74,12.52,-70.03,84.2,16.11
467,north bend,90,US,1572937300,100,43.41,-124.22,46.0,5.41
468,linhares,1,BR,1572937413,96,-19.38,-40.06,70.99,3.98
469,guiratinga,26,BR,1572937413,65,-16.35,-53.76,75.38,1.74
470,tibana,0,RO,1572937414,62,46.98,27.33,64.0,4.7
471,valdivia,0,CL,1572937414,98,-39.81,-73.25,35.15,0.6
472,tigil,79,RU,1572937414,74,57.8,158.67,32.18,12.62
473,namtsy,40,RU,1572937414,78,62.72,129.66,10.4,8.95
474,kot addu,0,PK,1572937209,45,30.47,70.97,84.2,9.17
475,ambon,75,FR,1572937414,100,47.55,-2.56,52.0,8.05
476,trifesti,0,RO,1572937414,62,47.45,27.52,64.0,4.7
477,ulaanbaatar,18,MN,1572937259,28,47.92,106.92,44.6,6.71
478,huarmey,81,PE,1572937414,87,-10.07,-78.15,60.73,2.01
479,beterou,15,BJ,1572937414,96,9.2,2.26,71.71,2.68
480,male,100,UA,1572937414,88,50.74,33.7,58.21,19.82
481,cururupu,4,BR,1572937414,98,-1.82,-44.87,71.8,2.55
482,griffith,53,AU,1572937414,24,-34.29,146.06,68.0,14.99
483,muisne,92,EC,1572937415,89,0.61,-80.02,74.3,9.19
484,grafton,40,AU,1572937415,42,-29.69,152.93,66.99,19.46
485,fare,96,PF,1572937415,80,-16.7,-151.02,80.22,8.46
486,socorro,78,US,1572937415,42,31.65,-106.3,63.0,3.36
487,necochea,16,AR,1572937415,72,-38.55,-58.74,44.92,8.3
488,mount isa,42,AU,1572937415,9,-20.73,139.49,93.2,17.22
489,mount gambier,90,AU,1572937415,62,-37.83,140.78,59.0,19.46
490,vanimo,100,PG,1572937415,68,-2.67,141.3,82.15,1.25
491,lazaro cardenas,97,MX,1572937415,70,28.39,-105.62,59.0,0.6
492,eureka,1,US,1572937415,100,40.8,-124.16,48.2,9.17
493,camacha,40,PT,1572937415,72,33.08,-16.33,66.2,16.11
494,lorengau,100,PG,1572937415,67,-2.02,147.27,82.47,18.23
495,ahipara,41,NZ,1572937415,71,-35.17,173.16,70.0,3.24
