City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
160,glenwood springs,1,US,1574914691,78,39.55,-107.33,35.6,8.05
161,belmonte,92,PT,1574914691,94,40.36,-7.35,53.01,5.01
162,mapiri,100,BO,1574914692,98,-15.31,-68.22,68.04,1.25
163,aksay,100,KZ,1574914692,81,51.17,53.01,20.07,9.22
164,dunedin,49,NZ,1574914692,96,-45.87,170.5,54.7,10.02
165,hamilton,90,CA,1574914692,86,43.26,-79.87,42.01,18.34
166,marion,62,US,1574914692,70,35.21,-90.2,48.0,6.93
167,talnakh,75,RU,1574914692,84,69.49,88.39,8.6,22.37
168,banes,6,CU,1574914692,88,20.96,-75.72,75.2,11.41
169,ayan,89,IR,1574914692,94,38.23,44.7,28.89,2.04
170,sur,0,OM,1574914585,48,22.57,59.53,70.74,9.15
171,port-gentil,100,GA,1574914692,83,-0.72,8.78,79.59,14.43
172,peace river,90,CA,1574914512,85,56.23,-117.29,10.4,3.36
173,jinxiang,0,CN,1574914692,36,35.07,116.31,40.5,4.68
174,mokhsogollokh,100,RU,1574914692,99,61.4,128.95,-10.66,2.55
175,erdenet,0,MN,1574914692,82,49.03,104.04,1.54,2.75
176,nouakchott,90,MR,1574914693,100,18.08,-15.98,64.4,8.05
177,boende,98,CD,1574914693,99,-0.28,20.88,68.99,1.34
178,syamzha,100,RU,1574914693,92,60.02,41.06,25.25,7.38
179,ambunti,4,PG,1574914693,54,-4.22,142.82,91.78,3.8
180,isangel,75,VU,1574914693,62,-19.55,169.27,86.0,11.41
181,anori,50,BR,1574914693,75,-3.74,-61.66,78.69,2.01
182,el alto,75,BO,1574914693,87,-16.5,-68.19,48.2,8.05
183,luganville,75,VU,1574914693,79,-15.51,167.18,86.0,5.82
184,palmer,75,AU,1574914693,49,-34.85,139.16,80.01,18.34
185,cap malheureux,20,MU,1574914693,78,-19.98,57.61,82.0,9.17
186,clermont,51,FR,1574914693,76,49.38,2.41,52.0,14.99
187,bambous virieux,20,MU,1574914693,78,-20.34,57.76,82.0,9.17
188,geraldton,90,CA,1574914693,92,49.72,-86.95,21.2,9.17
189,kaitangata,52,NZ,1574914694,70,-46.28,169.85,57.99,5.99
190,kopayhorod,26,UA,1574914694,94,48.86,27.8,28.0,9.4
191,iqaluit,90,CA,1574914694,79,63.75,-68.52,24.8,11.41
192,manaure,0,CO,1574914694,81,11.78,-72.45,83.35,25.17
193,lima,90,PE,1574914694,88,-12.06,-77.04,66.2,4.7
194,harper,90,US,1574914694,37,30.3,-99.24,53.01,9.17
195,mahajanga,20,MG,1574914694,88,-15.72,46.32,78.8,3.36
196,vardo,90,US,1574914555,39,39.62,-77.74,52.0,26.4
197,kirkland lake,90,CA,1574914511,86,48.15,-80.03,26.6,19.46
198,cabo san lucas,90,MX,1574914661,94,22.89,-109.91,73.0,4.7
199,umuarama,100,BR,1574914694,96,-23.76,-53.31,70.23,5.7
200,radcliff,1,US,1574914694,69,37.84,-85.95,42.8,9.17
201,kupino,62,RU,1574914694,95,54.36,77.31,0.16,11.68
202,san jose iturbide,5,MX,1574914695,77,21.0,-100.38,64.99,9.17
203,mount isa,40,AU,1574914695,18,-20.73,139.49,100.4,12.75
204,nikolskoye,90,RU,1574914695,89,59.7,30.79,33.01,6.71
205,mackay,90,CA,1574914695,85,53.65,-115.58,10.4,2.24
206,paamiut,58,GL,1574914695,45,61.99,-49.67,31.64,8.34
207,dingle,65,PH,1574914695,79,11.0,122.67,83.14,13.4
208,otane,100,NZ,1574914695,62,-39.89,176.62,73.0,8.01
209,flinders,0,AU,1574914695,32,-34.58,150.85,87.01,14.99
210,bellavista,5,MX,1574914695,93,21.56,-104.88,66.99,1.41
211,tuatapere,100,NZ,1574914695,77,-46.13,167.69,59.0,8.99
212,dubrovnik,90,HR,1574914695,93,42.65,18.09,59.0,3.36
213,sungaipenuh,79,ID,1574914695,69,-2.08,101.38,74.61,3.29
214,tigil,100,RU,1574914696,79,57.8,158.67,14.92,7.76
215,turukhansk,100,RU,1574914696,93,65.8,87.96,7.59,18.28
216,qaqortoq,0,GL,1574914696,53,60.72,-46.03,24.8,2.24
217,boras,90,SE,1574914591,93,57.72,12.94,45.0,9.17
218,nuevo progreso,90,US,1574914696,42,26.05,-97.95,70.0,6.93
219,sechura,84,PE,1574914696,88,-5.56,-80.82,69.31,7.99
220,norman wells,75,CA,1574914696,84,65.28,-126.83,6.8,6.93
221,monduli,40,TZ,1574914696,93,-3.3,36.45,64.4,4.7
222,constitucion,75,MX,1574914696,55,23.99,-104.67,60.8,6.93
223,airai,0,TL,1574914696,34,-8.93,125.41,86.59,7.27
224,karoi,0,ZW,1574914696,75,-16.82,29.68,66.74,11.61
225,chabahar,0,IR,1574914696,30,25.29,60.65,65.44,3.13
226,reconquista,0,AR,1574914696,70,-29.14,-59.64,61.18,6.67
227,mahebourg,20,MU,1574914697,78,-20.41,57.7,82.0,9.17
228,viedma,100,AR,1574914697,43,-40.81,-62.99,59.04,12.88
229,daru,100,PG,1574914697,51,-9.07,143.21,86.29,8.23
230,jalu,0,LY,1574914697,85,29.03,21.55,55.9,3.87
231,solsona,0,ES,1574914697,80,41.99,1.52,55.0,11.01
232,annau,33,TM,1574914697,79,37.89,58.52,28.4,9.17
233,maceio,20,BR,1574914586,94,-9.67,-35.74,73.4,2.24
234,kavieng,42,PG,1574914697,62,-2.57,150.8,84.11,2.98
235,bastia,40,IT,1574914697,82,44.6,8.98,57.0,4.7
236,biak,87,ID,1574914697,70,-0.91,122.88,82.65,2.98
237,tuban,5,ID,1574914698,49,-6.9,112.07,91.76,3.02
238,saldanha,86,PT,1574914698,92,41.42,-6.55,49.42,13.09
